LifeExpectancy,Infant_Mortality,Obesity,Water_Access,Hypertension,Smoking_Prevalence,Year
60.11028,17.88736,19.48651,100.0,12.5,63.317330917874386,1970
76.00781,41.56974,35.84183,75.12189,11.9,63.317330917874386,1970
70.47775,517.90526,28.95912,68.65666,21.8,63.317330917874386,1970
66.57494,93.4655,22.96335,98.87807,23.5,63.317330917874386,1970
80.73799,71.88607,37.51604,89.74994,3.2,63.317330917874386,1970
77.51892,178.56327,16.49064,100.0,15.5,63.317330917874386,1970
71.96303,168.81963,0.92654,95.8116,11.9,339.0,1970
75.83776,18.73841,22.37619,98.08867,16.5,63.317330917874386,1970
75.45464,220.52027,13.73001,96.82197,8.0,63.317330917874386,1970
83.17109,6.65608,36.53718,67.1328,21.4,63.317330917874386,1970
78.20256,24.59849,18.26406,80.75478,9.8,140.0,1970
70.85157,350.40023,5.34761,95.30083,10.05,63.317330917874386,1970
57.66378,8.39114,13.52282,90.43474,19.4,63.317330917874386,1970
74.96831,65.7097,15.94004,85.75393,6.2,60.60144927536232,1970
67.06989,1125.01475,19.97394,96.45902,8.8,63.317330917874386,1970
67.84567,36.47183,19.93608,94.54952,2.4,21.0,1970
75.20536,118.35153,45.55039,70.80222,4.0,63.317330917874386,1970
72.94213,5.81691,27.29806,100.0,18.9,63.317330917874386,1970
67.0807,11.94569,20.51315,98.45445,5.9,63.317330917874386,1970
72.08322,247.05329,13.0398,90.62996,5.5,63.317330917874386,1970
63.81961,342.89047,3.70855,100.0,12.7,47.0,1970
64.26884,172.85013444444448,17.72485,99.9199,10.05,63.317330917874386,1970
71.35708409090908,8.80503,4.56149,88.99073173913044,14.3,15.0,1970
71.35708409090908,1558.58661,19.572748787878787,88.99073173913044,10.05,60.60144927536232,1970
71.35708409090908,30.43564,19.572748787878787,88.99073173913044,10.05,22.0,1970
71.35708409090908,40.55347,15.76468,88.99073173913044,11.8,60.60144927536232,1970
71.35708409090908,37.97756,28.37345,88.99073173913044,6.8,60.60144927536232,1970
71.35708409090908,10.72918,19.572748787878787,88.99073173913044,10.05,18.0,1970
71.35708409090908,6.04132,38.79265,88.99073173913044,2.5,14.0,1970
71.35708409090908,6.45636,9.88366,88.99073173913044,3.4,60.60144927536232,1970
71.35708409090908,83.42751,19.572748787878787,88.99073173913044,10.05,77.0,1970
71.35708409090908,12.22787,14.20007,88.99073173913044,3.7,60.60144927536232,1970
71.35708409090908,55.51099,19.572748787878787,88.99073173913044,10.05,19.0,1970
71.35708409090908,52.13201,27.00756,88.99073173913044,1.7,60.60144927536232,1970
71.35708409090908,29.46341,4.61213,88.99073173913044,6.1,60.60144927536232,1970
71.35708409090908,34.64154,2.59259,88.99073173913044,9.8,60.60144927536232,1970
71.35708409090908,582.96072,14.29842,88.99073173913044,1.6,60.60144927536232,1970
71.35708409090908,172.85013444444448,30.16725,53.46588,10.05,63.317330917874386,1970
71.35708409090908,172.85013444444448,19.572748787878787,88.99073173913044,10.05,68.0,1970
71.35708409090908,172.85013444444448,19.572748787878787,88.99073173913044,10.05,20.0,1970
71.35708409090908,172.85013444444448,19.572748787878787,88.99073173913044,10.05,60.60144927536232,1970
71.35708409090908,172.85013444444448,19.572748787878787,88.99073173913044,10.05,53.0,1970
